iter	R2	RMSE
891	0.8858781454	4434.174826
892	0.8859068685	4433.616777
893	0.8859201214	4433.359269
894	0.8859890141	4432.020415
895	0.8860293028	4431.237263
896	0.8860609669	4430.621663
897	0.8860788878	4430.273214
898	0.8860926756	4430.00511
899	0.886113872	4429.592911
900	0.886129962	4429.279991
901	0.8861504881	4428.880765
902	0.8861710572	4428.480665
903	0.8861815966	4428.275645
904	0.8861954709	4428.005736
905	0.8862057273	4427.806199
906	0.8862454754	4427.032819
907	0.886256489	4426.818504
908	0.8862714273	4426.527801
909	0.886275107	4426.456189
910	0.8863005524	4425.960963
911	0.8863158776	4425.662672
912	0.8863344721	4425.300719
913	0.8863520826	4424.957895
914	0.886415832	4423.716657
915	0.8864543013	4422.967469
916	0.8864740967	4422.581906
917	0.886495621	4422.162629
918	0.8865367594	4421.361176
919	0.8865569314	4420.968133
920	0.886574178	4420.632063
921	0.886585462	4420.412168
922	0.8866052274	4420.026967
923	0.8866132184	4419.871222
924	0.886627557	4419.591751
925	0.8866576639	4419.004884
926	0.8866835146	4418.50092
927	0.8867081283	4418.021018
928	0.88674466	4417.30865
929	0.8867603262	4417.003125
930	0.8867851026	4416.519887
931	0.8868036078	4416.158927
932	0.8868145206	4415.946051
933	0.8868424429	4415.401321
934	0.8868608634	4415.041923
935	0.886881287	4414.643409
